const,title,year
tt0093605,Near Dark,1987
tt0102181,Kafka,1991
tt1571222,A Dangerous Method,2011
tt0765443,Eastern Promises,2007
tt0079138,Fast Company,1979
tt0114681,To Die For,1995
tt1294688,Last Night,2010
tt0162346,Ghost World,2001
tt0278731,Spider,2002
tt0468526,Old Joy,2006
tt0295743,Friday Night,2002
tt0300214,Morvern Callar,2002
tt0094964,Dead Ringers,1988
tt0088680,After Hours,1985
tt0077914,Martin,1977
tt0078908,The Brood,1979
tt0420291,Keane,2004
tt1019452,A Serious Man,2009
tt0165854,The Limey,1999
tt4044364,Citizenfour,2014
tt0270288,Confessions of a Dangerous Mind,2002
tt0120780,Out of Sight,1998
tt0120789,Pleasantville,1998
tt0477095,Starter for 10,2006
tt1593756,Outsourced,2007
tt0319061,Big Fish,2003
tt1266029,Nowhere Boy,2009
tt0298845,In America,2002
tt0101605,The Commitments,1991
tt1594510,The Counterfeiters,2010
tt0318462,The Motorcycle Diaries,2004
tt1605783,Midnight in Paris,2011
tt0039628,Miracle on 34th Street,1947
tt0120684,Gods and Monsters,1998
tt0118804,The Butcher Boy,1997
tt1656190,Safe,2012
tt0460829,Inland Empire,2006
tt0366996,The Saddest Music in the World,2003
tt0443455,Brand Upon the Brain! A Remembrance in 12 Chapters,2006
tt3066630,The Forbidden Room,2015
tt1093842,My Winnipeg,2007
tt0346800,Cowards Bend the Knee,2003
tt0260948,The Heart of the World,2000
tt0112288,The Addiction,1995
tt0366996,The Saddest Music in the World,2003
tt0089537,Mala Noche,1986
tt0412019,Broken Flowers,2005
tt0147612,Happiness,1998
tt2777422,3 Women,2013
tt0286261,All or Nothing,2002
tt0086637,Zelig,1983
tt0433383,"Good Night, and Good Luck.",2005
tt1862079,Safety Not Guaranteed,2012
tt0138524,Intolerable Cruelty,2003
tt0099365,Darkman,1990
tt0072856,Death Race 2000,1975
tt0087363,Gremlins,1984
tt0093260,Innerspace,1987
tt0076070,The Gauntlet,1977
tt0089114,Explorers,1985
tt0080749,The Fog,1980
tt0246894,Rollerball,2002
tt0087175,Dreamscape,1984
tt0116365,The Frighteners,1996
tt0099052,Arachnophobia,1990
tt1438176,Fright Night,2011
tt0826547,Great World of Sound,2007
tt0104466,Husbands and Wives,1992
tt0082085,Blow Out,1981
tt0099703,The Grifters,1990
tt0421238,The Proposition,2005
tt0095497,The Last Temptation of Christ,1988
tt0367790,Baadasssss!,2003
tt0073312,Love and Death,1975
tt0383028,"Synecdoche, New York",2008
tt3230454,The Last Man on Earth,2015â€“2018
tt2582496,Me and Earl and the Dying Girl,2015
tt1655442,The Artist,2011
tt1606392,Win Win,2011
tt0340377,The Station Agent,2003
tt0107653,Naked,1993
tt0118954,Deconstructing Harry,1997
tt0103850,Bob Roberts,1992
tt0072417,A Woman Under the Influence,1974
tt0075824,That Obscure Object of Desire,1977
tt0274309,24 Hour Party People,2002
tt0074851,The Man Who Fell to Earth,1976
tt0165798,Ghost Dog: The Way of the Samurai,1999
tt0109707,Ed Wood,1994
tt0113677,Living in Oblivion,1995
tt0827517,Reprise,2006
tt0069957,Deep Throat Part II,1974
tt0146882,High Fidelity,2000
tt0101428,La Belle Noiseuse,1991
tt0082533,The Howling,1981
tt0077405,Days of Heaven,1978
tt0097123,Crimes and Misdemeanors,1989
tt0074958,Network,1976
tt0248845,Hedwig and the Angry Inch,2001
tt0110308,The Last Seduction,1994
